"Drug1","Drug2","n.syn","Drug1.target","Drug2.target","syn.mean1","syn.sd1","syn.mean2","syn.sd2","n.syn.score"
"SNS-032","Dorsomorphin",22,"CDK2/7/9","AMPK/BMP antagonist",1.5607476635514,3.2013486842251,1.49532710280374,3.37128224801305,6.08215847524519
"fingolimod","Indole-3-carbinol",22,"Sphingosine-1-phosphate receptor agonist","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",10.3457943925234,6.46485827558226,0.97196261682243,2.62950581455489,1.80270086530659
"vincristine","vatalanib/PTK787",22,"microtubule agent (vinca alkyloid)","VEFGR (1-4), c-kit, PDGFb",4.76635514018692,5.94087128997139,1.93457943925234,3.94841986077111,2.90086150980996
"XL147","STA4783",21,"PI3K","HSP70 inducer",1.21495327102804,2.49916226485951,4.5981308411215,3.52045187141445,4.65902382931557
"fingolimod","AZD7762",21,"Sphingosine-1-phosphate receptor agonist","Chk1/2",10.3457943925234,6.46485827558226,1.81308411214953,3.44808079273612,1.64801843339977
"Bortezomib","KU55933",20,"proteasome","ATM",7.71028037383178,4.96973737166165,1.4392523364486,3.2684240334052,2.47291128425547
"Bortezomib","temozolomide",20,"proteasome","alkylating agent (tetrazine)",7.71028037383178,4.96973737166165,1.05607476635514,2.33848756033231,2.47291128425547
"MK1775","AZD7762",20,"Wee-1","Chk1/2",1.5607476635514,2.81564889164268,1.81308411214953,3.44808079273612,5.27450398672903
"bivanib/BI2536","PD173074",20,"Plk1","FGFR1/3",3.48598130841122,3.5855172148186,0.925233644859813,2.1835618062872,4.60575635318049
"fingolimod","AS252424",20,"Sphingosine-1-phosphate receptor agonist","PI3K (gamma)",10.3457943925234,6.46485827558226,1.20560747663551,2.44462567168484,1.49333600149295
"fingolimod","sorafenib",20,"Sphingosine-1-phosphate receptor agonist","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",10.3457943925234,6.46485827558226,1.82242990654206,2.94865842251728,1.49333600149295
"ABT263","Docetaxel",19,"Bcl-2, Bcl-x, Bcl-xl","microtubule agent (taxane)",5.16822429906542,5.26377076497414,3.19626168224299,2.89253839144284,2.62773139608836
"Wnti","Embelin",19,"bCatenin","XIAP",6.04672897196262,5.71060446453605,1.8785046728972,2.83412586894367,2.26828370069748
"fingolimod","Darinaparsin",19,"Sphingosine-1-phosphate receptor agonist","arsenic",10.3457943925234,6.46485827558226,1.22429906542056,3.21936478914166,1.33865356958613
"fingolimod","lapatinib",19,"Sphingosine-1-phosphate receptor agonist","EGFR, HER2, ErbB4",10.3457943925234,6.46485827558226,2.58878504672897,4.11154213144438,1.33865356958613
"ABT263","YM155",18,"Bcl-2, Bcl-x, Bcl-xl","survivin/BIRC5",5.16822429906542,5.26377076497414,3.57009345794393,3.67580603285636,2.43775351812792
"Enzastaurin","Bortezomib",18,"PKCbeta","proteasome",1.74766355140187,2.56277215009091,7.71028037383178,4.96973737166165,2.07047553153253
"Perifosine","PF04217903",18,"Akt/PI3K","MET",1.89719626168224,3.36444948940809,0.990654205607477,2.40084626236763,4.78616302281023
"VX702","fingolimod",18,"p38","Sphingosine-1-phosphate receptor agonist",1.05607476635514,2.36256885973695,10.3457943925234,6.46485827558226,1.18397113767931
"Wnti","KU55933",18,"bCatenin","ATM",6.04672897196262,5.71060446453605,1.4392523364486,3.2684240334052,2.09317088974897
"Wnti","LSN415169",18,"bCatenin","gamma secretase",6.04672897196262,5.71060446453605,1,2.00471143173483,2.09317088974897
"Wnti","PIM-1 4a",18,"bCatenin","PIM",6.04672897196262,5.71060446453605,1.58878504672897,4.36528602669615,2.09317088974897
"fingolimod","BMS536924",18,"Sphingosine-1-phosphate receptor agonist","Multi (IGFR1R, InR, FAK)",10.3457943925234,6.46485827558226,1.44859813084112,2.6960265831363,1.18397113767931
"fingolimod","SNS-032",18,"Sphingosine-1-phosphate receptor agonist","CDK2/7/9",10.3457943925234,6.46485827558226,1.5607476635514,3.2013486842251,1.18397113767931
"fingolimod","ZM336372",18,"Sphingosine-1-phosphate receptor agonist","Raf (c-Raf)",10.3457943925234,6.46485827558226,1.46728971962617,2.85603550599377,1.18397113767931
"gemcitabine","AZD7762",18,"Antimetabolite (pyrimidine)","Chk1/2",1.39252336448598,2.55784774409974,1.81308411214953,3.44808079273612,4.69447117421104
"lapatinib","HIF-1i",18,"EGFR, HER2, ErbB4","HIFa",2.58878504672897,4.11154213144438,1.75700934579439,3.0463127154462,3.74828092734564
"vincristine","BID1870",18,"microtubule agent (vinca alkyloid)","RSK (RSK1/2/3/5/, PLK1, ARKB)",4.76635514018692,5.94087128997139,1.4392523364486,3.22191074824985,2.22755959755472
"vincristine","lapatinib",18,"microtubule agent (vinca alkyloid)","EGFR, HER2, ErbB4",4.76635514018692,5.94087128997139,2.58878504672897,4.11154213144438,2.22755959755472
"vincristine","pioglitazone",18,"microtubule agent (vinca alkyloid)","PPARg, agonist",4.76635514018692,5.94087128997139,1.35514018691589,2.93081332149375,2.22755959755472
"BI78D3","Tideglusib/TZDZ-8",17,"JNK","GSK3",0.869158878504673,2.21096799491071,1.02803738317757,2.56779012222511,6.22011996953316
"Bortezomib","T0901317",17,"proteasome","LXR",7.71028037383178,4.96973737166165,1.29906542056075,2.50363868509238,1.86925765517106
"Perifosine","Tamatinib/R406",17,"Akt/PI3K","Syk",1.89719626168224,3.36444948940809,2.18691588785047,3.02234084313859,4.48893757682028
"Vismodegib/GDC0449","fingolimod",17,"Hh","Sphingosine-1-phosphate receptor agonist",0.803738317757009,2.14757103836838,10.3457943925234,6.46485827558226,1.02928870577249
"Wnti","C75",17,"bCatenin","Fatty Acid Synthase",6.04672897196262,5.71060446453605,1.42990654205607,3.07488962689692,1.91805807880046
"cisplatin","Wnti",17,"alkylating agent (platinum)","bCatenin",2,4.85254261303502,6.04672897196262,5.71060446453605,1.91805807880046
"fingolimod","JZL184",17,"Sphingosine-1-phosphate receptor agonist","MAGL",10.3457943925234,6.46485827558226,1.64485981308411,3.72460542787686,1.02928870577249
"fingolimod","cediranib/AZD2171",17,"Sphingosine-1-phosphate receptor agonist","VEGFR (pan)",10.3457943925234,6.46485827558226,1.06542056074766,2.06621990116024,1.02928870577249
"fingolimod","erlotinib",17,"Sphingosine-1-phosphate receptor agonist","EGFR",10.3457943925234,6.46485827558226,1.1588785046729,2.73740523299491,1.02928870577249
"vincristine","Dorsomorphin",17,"microtubule agent (vinca alkyloid)","AMPK/BMP antagonist",4.76635514018692,5.94087128997139,1.49532710280374,3.37128224801305,2.05923411949091
"vincristine","erlotinib",17,"microtubule agent (vinca alkyloid)","EGFR",4.76635514018692,5.94087128997139,1.1588785046729,2.73740523299491,2.05923411949091
"ABT263","OSU03012",16,"Bcl-2, Bcl-x, Bcl-xl","PDK1",5.16822429906542,5.26377076497414,3.27102803738318,3.92276878886643,2.05779776220703
"Bortezomib","Bexarotene",16,"proteasome","RXR",7.71028037383178,4.96973737166165,1.80373831775701,2.65443470987508,1.66803977880959
"Bortezomib","GW441756",16,"proteasome","TrkA",7.71028037383178,4.96973737166165,1.00934579439252,2.34518908238299,1.66803977880959
"Nutlin-3","fingolimod",16,"MDM2/p53","Sphingosine-1-phosphate receptor agonist",0.88785046728972,1.83430158835772,10.3457943925234,6.46485827558226,0.874606273865669
"RKI983","Bortezomib",16,"ROCK","proteasome",2.18691588785047,2.94967488173743,7.71028037383178,4.96973737166165,1.66803977880959
"STA4783","FH535",16,"HSP70 inducer","bCatenin",4.5981308411215,3.52045187141445,1.92523364485981,2.47897169254557,3.2387516078433
"Wnti","Tie2i",16,"bCatenin","TIE_2",6.04672897196262,5.71060446453605,1.42990654205607,2.50701713134226,1.74294526785196
"fingolimod","GW0742",16,"Sphingosine-1-phosphate receptor agonist","PPARd, agonist",10.3457943925234,6.46485827558226,1.19626168224299,2.34093696906613,0.874606273865669
"fingolimod","fludarabine",16,"Sphingosine-1-phosphate receptor agonist","Antimetabolite (purine)",10.3457943925234,6.46485827558226,2.93457943925234,2.54866234999661,0.874606273865669
"vincristine","Tamatinib/R406",16,"microtubule agent (vinca alkyloid)","Syk",4.76635514018692,5.94087128997139,2.18691588785047,3.02234084313859,1.8909086414271
"ABT263","fingolimod",15,"Bcl-2, Bcl-x, Bcl-xl","Sphingosine-1-phosphate receptor agonist",5.16822429906542,5.26377076497414,10.3457943925234,6.46485827558226,0.719923841958848
"ABT263","sunitinib",15,"Bcl-2, Bcl-x, Bcl-xl","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",5.16822429906542,5.26377076497414,1.49532710280374,2.57848072781095,1.86781988424659
"Bortezomib","Dovitinib/CHIR-258",15,"proteasome","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",7.71028037383178,4.96973737166165,1.58878504672897,2.54748588985682,1.46682190244811
"Bortezomib","JZL184",15,"proteasome","MAGL",7.71028037383178,4.96973737166165,1.64485981308411,3.72460542787686,1.46682190244811
"FK866","ABT263",15,"NAMPRT","Bcl-2, Bcl-x, Bcl-xl",2.82242990654206,3.24128172910024,5.16822429906542,5.26377076497414,1.86781988424659
"Wnti","Dorsomorphin",15,"bCatenin","AMPK/BMP antagonist",6.04672897196262,5.71060446453605,1.49532710280374,3.37128224801305,1.56783245690345
"fingolimod","Bexarotene",15,"Sphingosine-1-phosphate receptor agonist","RXR",10.3457943925234,6.46485827558226,1.80373831775701,2.65443470987508,0.719923841958848
"fingolimod","Dovitinib/CHIR-258",15,"Sphingosine-1-phosphate receptor agonist","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",10.3457943925234,6.46485827558226,1.58878504672897,2.54748588985682,0.719923841958848
"fingolimod","STA4783",15,"Sphingosine-1-phosphate receptor agonist","HSP70 inducer",10.3457943925234,6.46485827558226,4.5981308411215,3.52045187141445,0.719923841958848
"fingolimod","SU6656",15,"Sphingosine-1-phosphate receptor agonist","Lyn/Src/Fyn/Yes",10.3457943925234,6.46485827558226,1.36448598130841,2.24193533041099,0.719923841958848
"fingolimod","SrcI1",15,"Sphingosine-1-phosphate receptor agonist","Src",10.3457943925234,6.46485827558226,2.08411214953271,3.01293280090604,0.719923841958848
"vincristine","A769662",15,"microtubule agent (vinca alkyloid)","AMPK agonist",4.76635514018692,5.94087128997139,1.04672897196262,2.3567773710714,1.72258316336329
"vincristine","GSK0660",15,"microtubule agent (vinca alkyloid)","PPARd, ant",4.76635514018692,5.94087128997139,1.11214953271028,2.43142594548393,1.72258316336329
"vincristine","GW9662",15,"microtubule agent (vinca alkyloid)","PPARg",4.76635514018692,5.94087128997139,1.25233644859813,2.29886542132355,1.72258316336329
"vincristine","RKI983",15,"microtubule agent (vinca alkyloid)","ROCK",4.76635514018692,5.94087128997139,2.18691588785047,2.94967488173743,1.72258316336329
"ABT263","vatalanib/PTK787",14,"Bcl-2, Bcl-x, Bcl-xl","VEFGR (1-4), c-kit, PDGFb",5.16822429906542,5.26377076497414,1.93457943925234,3.94841986077111,1.67784200628615
"Bortezomib","PF04217903",14,"proteasome","MET",7.71028037383178,4.96973737166165,0.990654205607477,2.40084626236763,1.26560402608664
"FK866","cisplatin",14,"NAMPRT","alkylating agent (platinum)",2.82242990654206,3.24128172910024,2,4.85254261303502,2.47293037010439
"NVP-BEZ235","everolimus",14,"PI3K/TORC1/TORC2 dual specificity","mTor",1.02803738317757,2.27147173604382,1.49532710280374,2.4238353817931,5.15904379939598
"OSU03012","SrcI1",14,"PDK1","Src",3.27102803738318,3.92276878886643,2.08411214953271,3.01293280090604,2.73505081234145
"OSU03012","T0901317",14,"PDK1","LXR",3.27102803738318,3.92276878886643,1.29906542056075,2.50363868509238,2.73505081234145
"Tideglusib/TZDZ-8","fingolimod",14,"GSK3","Sphingosine-1-phosphate receptor agonist",1.02803738317757,2.56779012222511,10.3457943925234,6.46485827558226,0.565241410052027
"fingolimod","CP690550",14,"Sphingosine-1-phosphate receptor agonist","JAK3",10.3457943925234,6.46485827558226,1.09345794392523,2.08105883010228,0.565241410052027
"fingolimod","Crizotinib/PF2341066",14,"Sphingosine-1-phosphate receptor agonist","Multi (c-kit, ALK, MET)",10.3457943925234,6.46485827558226,0.822429906542056,1.78469956306879,0.565241410052027
"fingolimod","NVP-BEZ235",14,"Sphingosine-1-phosphate receptor agonist","PI3K/TORC1/TORC2 dual specificity",10.3457943925234,6.46485827558226,1.02803738317757,2.27147173604382,0.565241410052027
"lapatinib","OSU03012",14,"EGFR, HER2, ErbB4","PDK1",2.58878504672897,4.11154213144438,3.27102803738318,3.92276878886643,2.73505081234145
"nilotinib","fingolimod",14,"Multi (BCR-Abl, PDGFR, c-kit)","Sphingosine-1-phosphate receptor agonist",1.13084112149533,1.99094228259704,10.3457943925234,6.46485827558226,0.565241410052027
"vincristine","BMS536924",14,"microtubule agent (vinca alkyloid)","Multi (IGFR1R, InR, FAK)",4.76635514018692,5.94087128997139,1.44859813084112,2.6960265831363,1.55425768529948
"vincristine","Embelin",14,"microtubule agent (vinca alkyloid)","XIAP",4.76635514018692,5.94087128997139,1.8785046728972,2.83412586894367,1.55425768529948
"vincristine","SrcI1",14,"microtubule agent (vinca alkyloid)","Src",4.76635514018692,5.94087128997139,2.08411214953271,3.01293280090604,1.55425768529948
"vincristine","TCS401",14,"microtubule agent (vinca alkyloid)","PTP-1B",4.76635514018692,5.94087128997139,0.766355140186916,1.60529453743881,1.55425768529948
"BI78D3","fingolimod",13,"JNK","Sphingosine-1-phosphate receptor agonist",0.869158878504673,2.21096799491071,10.3457943925234,6.46485827558226,0.410558978145206
"Bortezomib","A769662",13,"proteasome","AMPK agonist",7.71028037383178,4.96973737166165,1.04672897196262,2.3567773710714,1.06438614972517
"Bortezomib","EX527",13,"proteasome","SIRT1",7.71028037383178,4.96973737166165,0.869158878504673,1.74336538647121,1.06438614972517
"Bortezomib","SrcI1",13,"proteasome","Src",7.71028037383178,4.96973737166165,2.08411214953271,3.01293280090604,1.06438614972517
"Bortezomib","vatalanib/PTK787",13,"proteasome","VEFGR (1-4), c-kit, PDGFb",7.71028037383178,4.96973737166165,1.93457943925234,3.94841986077111,1.06438614972517
"Lestaurtinib","fingolimod",13,"Multi (Flt2, TrkA, RET, JAK2)","Sphingosine-1-phosphate receptor agonist",0.831775700934579,1.95460743203495,10.3457943925234,6.46485827558226,0.410558978145206
"OSI906","everolimus",13,"IGF1R","mTor",1.26168224299065,2.22055767514469,1.49532710280374,2.4238353817931,4.74647452694802
"ZM336372","STA4783",13,"Raf (c-Raf)","HSP70 inducer",1.46728971962617,2.85603550599377,4.5981308411215,3.52045187141445,2.38658827495994
"fingolimod","GSK650394",13,"Sphingosine-1-phosphate receptor agonist","SGK",10.3457943925234,6.46485827558226,0.897196261682243,1.59559877823906,0.410558978145206
"fingolimod","GW9662",13,"Sphingosine-1-phosphate receptor agonist","PPARg",10.3457943925234,6.46485827558226,1.25233644859813,2.29886542132355,0.410558978145206
"fingolimod","KU55933",13,"Sphingosine-1-phosphate receptor agonist","ATM",10.3457943925234,6.46485827558226,1.4392523364486,3.2684240334052,0.410558978145206
"fingolimod","Tie2i",13,"Sphingosine-1-phosphate receptor agonist","TIE_2",10.3457943925234,6.46485827558226,1.42990654205607,2.50701713134226,0.410558978145206
"fingolimod","vorinostat/SAHA",13,"Sphingosine-1-phosphate receptor agonist","HDAC",10.3457943925234,6.46485827558226,0.88785046728972,1.72838185204706,0.410558978145206
"ruxolitinib","fingolimod",13,"JAK1/2, Tyk2","Sphingosine-1-phosphate receptor agonist",0.906542056074766,2.01191127697574,10.3457943925234,6.46485827558226,0.410558978145206
"selumetinib/AZD6244","fingolimod",13,"MEK","Sphingosine-1-phosphate receptor agonist",1.72897196261682,2.09478279802575,10.3457943925234,6.46485827558226,0.410558978145206
"vincristine","KU55933",13,"microtubule agent (vinca alkyloid)","ATM",4.76635514018692,5.94087128997139,1.4392523364486,3.2684240334052,1.38593220723567
"vincristine","Veliparib/ABT888",13,"microtubule agent (vinca alkyloid)","PARP",4.76635514018692,5.94087128997139,1.02803738317757,2.10326764607887,1.38593220723567
"ABT263","Enzastaurin",12,"Bcl-2, Bcl-x, Bcl-xl","PKCbeta",5.16822429906542,5.26377076497414,1.74766355140187,2.56277215009091,1.29788625036526
"Bortezomib","GSK0660",12,"proteasome","PPARd, ant",7.71028037383178,4.96973737166165,1.11214953271028,2.43142594548393,0.863168273363697
"Bortezomib","PIM-1 4a",12,"proteasome","PIM",7.71028037383178,4.96973737166165,1.58878504672897,4.36528602669615,0.863168273363697
"Bortezomib","QS11",12,"proteasome","ARFGAP",7.71028037383178,4.96973737166165,1.81308411214953,2.30721117745791,0.863168273363697
"Bortezomib","ZM336372",12,"proteasome","Raf (c-Raf)",7.71028037383178,4.96973737166165,1.46728971962617,2.85603550599377,0.863168273363697
"Bortezomib","decitabine",12,"proteasome","methyl transferase inhibitor",7.71028037383178,4.96973737166165,1.10280373831776,1.86797529093215,0.863168273363697
"Bortezomib","stibogluconate",12,"proteasome","SHP1/2/PTP1B",7.71028037383178,4.96973737166165,1.32710280373832,1.80552454581989,0.863168273363697
"Docetaxel","nilutamide",12,"microtubule agent (taxane)","androgen receptor",3.19626168224299,2.89253839144284,1.03738317757009,2.10983873856113,3.04360292807231
"GW2580","Wnti",12,"CSF1R/fms","bCatenin",1.07476635514019,1.89189400247297,6.04672897196262,5.71060446453605,1.04249402405793
"Indole-3-carbinol","Embelin",12,"Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","XIAP",0.97196261682243,2.62950581455489,1.8785046728972,2.83412586894367,3.57129351170112
"Perifosine","pioglitazone",12,"Akt/PI3K","PPARg, agonist",1.89719626168224,3.36444948940809,1.35514018691589,2.93081332149375,3.00281034687049
"Tideglusib/TZDZ-8","Wnti",12,"GSK3","bCatenin",1.02803738317757,2.56779012222511,6.04672897196262,5.71060446453605,1.04249402405793
"Wnti","GW441756",12,"bCatenin","TrkA",6.04672897196262,5.71060446453605,1.00934579439252,2.34518908238299,1.04249402405793
"ZM336372","Wnti",12,"Raf (c-Raf)","bCatenin",1.46728971962617,2.85603550599377,6.04672897196262,5.71060446453605,1.04249402405793
"bivanib/BI2536","JZL184",12,"Plk1","MAGL",3.48598130841122,3.5855172148186,1.64485981308411,3.72460542787686,2.37455802928547
"cisplatin","bivanib/BI2536",12,"alkylating agent (platinum)","Plk1",2,4.85254261303502,3.48598130841122,3.5855172148186,2.06077530842032
"cisplatin","pioglitazone",12,"alkylating agent (platinum)","PPARg, agonist",2,4.85254261303502,1.35514018691589,2.93081332149375,2.06077530842032
"fingolimod","A769662",12,"Sphingosine-1-phosphate receptor agonist","AMPK agonist",10.3457943925234,6.46485827558226,1.04672897196262,2.3567773710714,0.255876546238386
"fingolimod","HIF-1i",12,"Sphingosine-1-phosphate receptor agonist","HIFa",10.3457943925234,6.46485827558226,1.75700934579439,3.0463127154462,0.255876546238386
"fingolimod","everolimus",12,"Sphingosine-1-phosphate receptor agonist","mTor",10.3457943925234,6.46485827558226,1.49532710280374,2.4238353817931,0.255876546238386
"fingolimod","nilutamide",12,"Sphingosine-1-phosphate receptor agonist","androgen receptor",10.3457943925234,6.46485827558226,1.03738317757009,2.10983873856113,0.255876546238386
"fingolimod","pioglitazone",12,"Sphingosine-1-phosphate receptor agonist","PPARg, agonist",10.3457943925234,6.46485827558226,1.35514018691589,2.93081332149375,0.255876546238386
"fingolimod","tipifarnib",12,"Sphingosine-1-phosphate receptor agonist","FTI",10.3457943925234,6.46485827558226,1.07476635514019,1.99386291697487,0.255876546238386
"gemcitabine","MK1775",12,"Antimetabolite (pyrimidine)","Wee-1",1.39252336448598,2.55784774409974,1.5607476635514,2.81564889164268,3.70758313205672
"ruxolitinib","cisplatin",12,"JAK1/2, Tyk2","alkylating agent (platinum)",0.906542056074766,2.01191127697574,2,4.85254261303502,2.06077530842032
"sorafenib","FH535",12,"Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","bCatenin",1.82242990654206,2.94865842251728,1.92523364485981,2.47897169254557,3.45159344864684
"sunitinib","fingolimod",12,"Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","Sphingosine-1-phosphate receptor agonist",1.49532710280374,2.57848072781095,10.3457943925234,6.46485827558226,0.255876546238386
"vatalanib/PTK787","OSU03012",12,"VEFGR (1-4), c-kit, PDGFb","PDK1",1.93457943925234,3.94841986077111,3.27102803738318,3.92276878886643,2.22520684558094
"ABT263","Midostaurin/PKC412",11,"Bcl-2, Bcl-x, Bcl-xl","Multi (FLT3, KIT, etc., broad spectrum)",5.16822429906542,5.26377076497414,2.19626168224299,2.77264008896789,1.10790837240482
"ABT263","fludarabine",11,"Bcl-2, Bcl-x, Bcl-xl","Antimetabolite (purine)",5.16822429906542,5.26377076497414,2.93457943925234,2.54866234999661,1.10790837240482
"Bortezomib","Midostaurin/PKC412",11,"proteasome","Multi (FLT3, KIT, etc., broad spectrum)",7.71028037383178,4.96973737166165,2.19626168224299,2.77264008896789,0.661950397002225
"Bortezomib","cisplatin",11,"proteasome","alkylating agent (platinum)",7.71028037383178,4.96973737166165,2,4.85254261303502,0.661950397002225
"Bortezomib","dasatanib",11,"proteasome","Multi (BCR-Abl, EAR, PDGFR, c-kit)",7.71028037383178,4.96973737166165,1.64485981308411,1.99173924398032,0.661950397002225
"Bortezomib","pioglitazone",11,"proteasome","PPARg, agonist",7.71028037383178,4.96973737166165,1.35514018691589,2.93081332149375,0.661950397002225
"Bortezomib","vasastrol",11,"proteasome","KSP (Eg5, kinesin-5)",7.71028037383178,4.96973737166165,1.13084112149533,1.9526668370222,0.661950397002225
"CHIR265","bivanib/BI2536",11,"Raf, VEGFR","Plk1",2.45794392523365,2.95334915043466,3.48598130841122,3.5855172148186,2.09565823879859
"Docetaxel","bivanib/BI2536",11,"microtubule agent (taxane)","Plk1",3.19626168224299,2.89253839144284,3.48598130841122,3.5855172148186,2.09565823879859
"HIF-1i","SrcI1",11,"HIFa","Src",1.75700934579439,3.0463127154462,2.08411214953271,3.01293280090604,2.95920567753324
"Lestaurtinib","MK2206",11,"Multi (Flt2, TrkA, RET, JAK2)","Akt",0.831775700934579,1.95460743203495,1.24299065420561,2.15372043829438,4.53030447792072
"Perifosine","Midostaurin/PKC412",11,"Akt/PI3K","Multi (FLT3, KIT, etc., broad spectrum)",1.89719626168224,3.36444948940809,2.19626168224299,2.77264008896789,2.70558490088054
"Perifosine","SNS-032",11,"Akt/PI3K","CDK2/7/9",1.89719626168224,3.36444948940809,1.5607476635514,3.2013486842251,2.70558490088054
"RKI983","fingolimod",11,"ROCK","Sphingosine-1-phosphate receptor agonist",2.18691588785047,2.94967488173743,10.3457943925234,6.46485827558226,0.101194114331565
"Wnti","NVP-TAE684",11,"bCatenin","ALK",6.04672897196262,5.71060446453605,1.49532710280374,2.0893884262549,0.867381213109425
"XL147","bivanib/BI2536",11,"PI3K","Plk1",1.21495327102804,2.49916226485951,3.48598130841122,3.5855172148186,2.09565823879859
"YM155","STA4783",11,"survivin/BIRC5","HSP70 inducer",3.57009345794393,3.67580603285636,4.5981308411215,3.52045187141445,1.81847938637103
"erlotinib","YM155",11,"EGFR","survivin/BIRC5",1.1588785046729,2.73740523299491,3.57009345794393,3.67580603285636,2.02129994772399
"fingolimod","L779450",11,"Sphingosine-1-phosphate receptor agonist","Raf",10.3457943925234,6.46485827558226,1.36448598130841,2.03920315256797,0.101194114331565
"fingolimod","MK1775",11,"Sphingosine-1-phosphate receptor agonist","Wee-1",10.3457943925234,6.46485827558226,1.5607476635514,2.81564889164268,0.101194114331565
"fingolimod","Tamatinib/R406",11,"Sphingosine-1-phosphate receptor agonist","Syk",10.3457943925234,6.46485827558226,2.18691588785047,3.02234084313859,0.101194114331565
"sorafenib","bivanib/BI2536",11,"Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","Plk1",1.82242990654206,2.94865842251728,3.48598130841122,3.5855172148186,2.09565823879859
"vatalanib/PTK787","IPA3",11,"VEFGR (1-4), c-kit, PDGFb","PAK",1.93457943925234,3.94841986077111,0.981308411214953,1.79612427823164,2.29596164552197
"vincristine","LFM-A13",11,"microtubule agent (vinca alkyloid)","BTK, Plk",4.76635514018692,5.94087128997139,0.925233644859813,1.66371336529951,1.04928125110805
"ABT263","RKI983",10,"Bcl-2, Bcl-x, Bcl-xl","ROCK",5.16822429906542,5.26377076497414,2.18691588785047,2.94967488173743,0.917930494444379
"ABT263","bivanib/BI2536",10,"Bcl-2, Bcl-x, Bcl-xl","Plk1",5.16822429906542,5.26377076497414,3.48598130841122,3.5855172148186,0.917930494444379
"Bortezomib","Dorsomorphin",10,"proteasome","AMPK/BMP antagonist",7.71028037383178,4.96973737166165,1.49532710280374,3.37128224801305,0.460732520640754
"Bortezomib","GW0742",10,"proteasome","PPARd, agonist",7.71028037383178,4.96973737166165,1.19626168224299,2.34093696906613,0.460732520640754
"Bortezomib","JNK5a",10,"proteasome","JNK",7.71028037383178,4.96973737166165,0.990654205607477,2.66173204746566,0.460732520640754
"Bortezomib","PLX4720",10,"proteasome","Raf (BRafV600E)",7.71028037383178,4.96973737166165,1.02803738317757,1.76152776704229,0.460732520640754
"Enzastaurin","HIF-1i",10,"PKCbeta","HIFa",1.74766355140187,2.56277215009091,1.75700934579439,3.0463127154462,2.70589116225983
