"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"fingolimod","BMS536924","Sphingosine-1-phosphate receptor agonist","Multi (IGFR1R, InR, FAK)",18,1.18397113767931,1,44
"fingolimod","SNS-032","Sphingosine-1-phosphate receptor agonist","CDK2/7/9",18,1.18397113767931,1,38
"fingolimod","ZM336372","Sphingosine-1-phosphate receptor agonist","Raf (c-Raf)",18,1.18397113767931,1,43
"gemcitabine","AZD7762","Antimetabolite (pyrimidine)","Chk1/2",18,4.69447117421104,50,27
"lapatinib","HIF-1i","EGFR, HER2, ErbB4","HIFa",18,3.74828092734564,13,30
"vincristine","BID1870","microtubule agent (vinca alkyloid)","RSK (RSK1/2/3/5/, PLK1, ARKB)",18,2.22755959755472,5,45
"vincristine","lapatinib","microtubule agent (vinca alkyloid)","EGFR, HER2, ErbB4",18,2.22755959755472,5,13
"vincristine","pioglitazone","microtubule agent (vinca alkyloid)","PPARg, agonist",18,2.22755959755472,5,53
"BI78D3","Tideglusib/TZDZ-8","JNK","GSK3",17,6.22011996953316,99,80
"Bortezomib","T0901317","proteasome","LXR",17,1.86925765517106,2,56
"Perifosine","Tamatinib/R406","Akt/PI3K","Syk",17,4.48893757682028,24,17
"Vismodegib/GDC0449","fingolimod","Hh","Sphingosine-1-phosphate receptor agonist",17,1.02928870577249,104,1
"Wnti","C75","bCatenin","Fatty Acid Synthase",17,1.91805807880046,3,47
"cisplatin","Wnti","alkylating agent (platinum)","bCatenin",17,1.91805807880046,21,3
"fingolimod","JZL184","Sphingosine-1-phosphate receptor agonist","MAGL",17,1.02928870577249,1,33
"fingolimod","cediranib/AZD2171","Sphingosine-1-phosphate receptor agonist","VEGFR (pan)",17,1.02928870577249,1,73
"fingolimod","erlotinib","Sphingosine-1-phosphate receptor agonist","EGFR",17,1.02928870577249,1,65
"vincristine","Dorsomorphin","microtubule agent (vinca alkyloid)","AMPK/BMP antagonist",17,2.05923411949091,5,39
"vincristine","erlotinib","microtubule agent (vinca alkyloid)","EGFR",17,2.05923411949091,5,65
"ABT263","OSU03012","Bcl-2, Bcl-x, Bcl-xl","PDK1",16,2.05779776220703,4,9
"Bortezomib","Bexarotene","proteasome","RXR",16,1.66803977880959,2,29
"Bortezomib","GW441756","proteasome","TrkA",16,1.66803977880959,2,82
"Nutlin-3","fingolimod","MDM2/p53","Sphingosine-1-phosphate receptor agonist",16,0.874606273865669,95,1
"RKI983","Bortezomib","ROCK","proteasome",16,1.66803977880959,16,2
"STA4783","FH535","HSP70 inducer","bCatenin",16,3.2387516078433,6,23
"Wnti","Tie2i","bCatenin","TIE_2",16,1.74294526785196,3,48
"fingolimod","GW0742","Sphingosine-1-phosphate receptor agonist","PPARd, agonist",16,0.874606273865669,1,63
"fingolimod","fludarabine","Sphingosine-1-phosphate receptor agonist","Antimetabolite (purine)",16,0.874606273865669,1,11
"vincristine","Tamatinib/R406","microtubule agent (vinca alkyloid)","Syk",16,1.8909086414271,5,17
"ABT263","fingolimod","Bcl-2, Bcl-x, Bcl-xl","Sphingosine-1-phosphate receptor agonist",15,0.719923841958848,4,1
"ABT263","sunitinib","Bcl-2, Bcl-x, Bcl-xl","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",15,1.86781988424659,4,42
"Bortezomib","Dovitinib/CHIR-258","proteasome","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",15,1.46682190244811,2,35
"Bortezomib","JZL184","proteasome","MAGL",15,1.46682190244811,2,33
"FK866","ABT263","NAMPRT","Bcl-2, Bcl-x, Bcl-xl",15,1.86781988424659,12,4
"Wnti","Dorsomorphin","bCatenin","AMPK/BMP antagonist",15,1.56783245690345,3,39
"fingolimod","Bexarotene","Sphingosine-1-phosphate receptor agonist","RXR",15,0.719923841958848,1,29
"fingolimod","Dovitinib/CHIR-258","Sphingosine-1-phosphate receptor agonist","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",15,0.719923841958848,1,35
"fingolimod","STA4783","Sphingosine-1-phosphate receptor agonist","HSP70 inducer",15,0.719923841958848,1,6
"fingolimod","SU6656","Sphingosine-1-phosphate receptor agonist","Lyn/Src/Fyn/Yes",15,0.719923841958848,1,52
"fingolimod","SrcI1","Sphingosine-1-phosphate receptor agonist","Src",15,0.719923841958848,1,18
"vincristine","A769662","microtubule agent (vinca alkyloid)","AMPK agonist",15,1.72258316336329,5,76
"vincristine","GSK0660","microtubule agent (vinca alkyloid)","PPARd, ant",15,1.72258316336329,5,68
"vincristine","GW9662","microtubule agent (vinca alkyloid)","PPARg",15,1.72258316336329,5,58
"vincristine","RKI983","microtubule agent (vinca alkyloid)","ROCK",15,1.72258316336329,5,16
"ABT263","vatalanib/PTK787","Bcl-2, Bcl-x, Bcl-xl","VEFGR (1-4), c-kit, PDGFb",14,1.67784200628615,4,22
"Bortezomib","PF04217903","proteasome","MET",14,1.26560402608664,2,87
"FK866","cisplatin","NAMPRT","alkylating agent (platinum)",14,2.47293037010439,12,21
"NVP-BEZ235","everolimus","PI3K/TORC1/TORC2 dual specificity","mTor",14,5.15904379939598,78,41
"OSU03012","SrcI1","PDK1","Src",14,2.73505081234145,9,18
"OSU03012","T0901317","PDK1","LXR",14,2.73505081234145,9,56
"Tideglusib/TZDZ-8","fingolimod","GSK3","Sphingosine-1-phosphate receptor agonist",14,0.565241410052027,80,1
"fingolimod","CP690550","Sphingosine-1-phosphate receptor agonist","JAK3",14,0.565241410052027,1,70
"fingolimod","Crizotinib/PF2341066","Sphingosine-1-phosphate receptor agonist","Multi (c-kit, ALK, MET)",14,0.565241410052027,1,103
"fingolimod","NVP-BEZ235","Sphingosine-1-phosphate receptor agonist","PI3K/TORC1/TORC2 dual specificity",14,0.565241410052027,1,78
"lapatinib","OSU03012","EGFR, HER2, ErbB4","PDK1",14,2.73505081234145,13,9
"nilotinib","fingolimod","Multi (BCR-Abl, PDGFR, c-kit)","Sphingosine-1-phosphate receptor agonist",14,0.565241410052027,66,1
"vincristine","BMS536924","microtubule agent (vinca alkyloid)","Multi (IGFR1R, InR, FAK)",14,1.55425768529948,5,44
"vincristine","Embelin","microtubule agent (vinca alkyloid)","XIAP",14,1.55425768529948,5,25
"vincristine","SrcI1","microtubule agent (vinca alkyloid)","Src",14,1.55425768529948,5,18
"vincristine","TCS401","microtubule agent (vinca alkyloid)","PTP-1B",14,1.55425768529948,5,107
"BI78D3","fingolimod","JNK","Sphingosine-1-phosphate receptor agonist",13,0.410558978145206,99,1
"Bortezomib","A769662","proteasome","AMPK agonist",13,1.06438614972517,2,76
"Bortezomib","EX527","proteasome","SIRT1",13,1.06438614972517,2,100
"Bortezomib","SrcI1","proteasome","Src",13,1.06438614972517,2,18
"Bortezomib","vatalanib/PTK787","proteasome","VEFGR (1-4), c-kit, PDGFb",13,1.06438614972517,2,22
"Lestaurtinib","fingolimod","Multi (Flt2, TrkA, RET, JAK2)","Sphingosine-1-phosphate receptor agonist",13,0.410558978145206,101,1
"OSI906","everolimus","IGF1R","mTor",13,4.74647452694802,57,41
"ZM336372","STA4783","Raf (c-Raf)","HSP70 inducer",13,2.38658827495994,43,6
"fingolimod","GSK650394","Sphingosine-1-phosphate receptor agonist","SGK",13,0.410558978145206,1,94
"fingolimod","GW9662","Sphingosine-1-phosphate receptor agonist","PPARg",13,0.410558978145206,1,58
"fingolimod","KU55933","Sphingosine-1-phosphate receptor agonist","ATM",13,0.410558978145206,1,46
"fingolimod","Tie2i","Sphingosine-1-phosphate receptor agonist","TIE_2",13,0.410558978145206,1,48
"fingolimod","vorinostat/SAHA","Sphingosine-1-phosphate receptor agonist","HDAC",13,0.410558978145206,1,96
"ruxolitinib","fingolimod","JAK1/2, Tyk2","Sphingosine-1-phosphate receptor agonist",13,0.410558978145206,93,1
"selumetinib/AZD6244","fingolimod","MEK","Sphingosine-1-phosphate receptor agonist",13,0.410558978145206,32,1
"vincristine","KU55933","microtubule agent (vinca alkyloid)","ATM",13,1.38593220723567,5,46
"vincristine","Veliparib/ABT888","microtubule agent (vinca alkyloid)","PARP",13,1.38593220723567,5,81
"ABT263","Enzastaurin","Bcl-2, Bcl-x, Bcl-xl","PKCbeta",12,1.29788625036526,4,31
"Bortezomib","GSK0660","proteasome","PPARd, ant",12,0.863168273363697,2,68
"Bortezomib","PIM-1 4a","proteasome","PIM",12,0.863168273363697,2,36
"Bortezomib","QS11","proteasome","ARFGAP",12,0.863168273363697,2,28
"Bortezomib","ZM336372","proteasome","Raf (c-Raf)",12,0.863168273363697,2,43
"Bortezomib","decitabine","proteasome","methyl transferase inhibitor",12,0.863168273363697,2,69
"Bortezomib","stibogluconate","proteasome","SHP1/2/PTP1B",12,0.863168273363697,2,54
"Docetaxel","nilutamide","microtubule agent (taxane)","androgen receptor",12,3.04360292807231,10,77
"GW2580","Wnti","CSF1R/fms","bCatenin",12,1.04249402405793,71,3
"Indole-3-carbinol","Embelin","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","XIAP",12,3.57129351170112,89,25
"Perifosine","pioglitazone","Akt/PI3K","PPARg, agonist",12,3.00281034687049,24,53
"Tideglusib/TZDZ-8","Wnti","GSK3","bCatenin",12,1.04249402405793,80,3
"Wnti","GW441756","bCatenin","TrkA",12,1.04249402405793,3,82
"ZM336372","Wnti","Raf (c-Raf)","bCatenin",12,1.04249402405793,43,3
"bivanib/BI2536","JZL184","Plk1","MAGL",12,2.37455802928547,8,33
"cisplatin","bivanib/BI2536","alkylating agent (platinum)","Plk1",12,2.06077530842032,21,8
"cisplatin","pioglitazone","alkylating agent (platinum)","PPARg, agonist",12,2.06077530842032,21,53
"fingolimod","A769662","Sphingosine-1-phosphate receptor agonist","AMPK agonist",12,0.255876546238386,1,76
"fingolimod","HIF-1i","Sphingosine-1-phosphate receptor agonist","HIFa",12,0.255876546238386,1,30
"fingolimod","everolimus","Sphingosine-1-phosphate receptor agonist","mTor",12,0.255876546238386,1,41
"fingolimod","nilutamide","Sphingosine-1-phosphate receptor agonist","androgen receptor",12,0.255876546238386,1,77
"fingolimod","pioglitazone","Sphingosine-1-phosphate receptor agonist","PPARg, agonist",12,0.255876546238386,1,53
"fingolimod","tipifarnib","Sphingosine-1-phosphate receptor agonist","FTI",12,0.255876546238386,1,72
"gemcitabine","MK1775","Antimetabolite (pyrimidine)","Wee-1",12,3.70758313205672,50,37
"ruxolitinib","cisplatin","JAK1/2, Tyk2","alkylating agent (platinum)",12,2.06077530842032,93,21
"sorafenib","FH535","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","bCatenin",12,3.45159344864684,26,23
"sunitinib","fingolimod","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","Sphingosine-1-phosphate receptor agonist",12,0.255876546238386,42,1
"vatalanib/PTK787","OSU03012","VEFGR (1-4), c-kit, PDGFb","PDK1",12,2.22520684558094,22,9
"ABT263","Midostaurin/PKC412","Bcl-2, Bcl-x, Bcl-xl","Multi (FLT3, KIT, etc., broad spectrum)",11,1.10790837240482,4,15
"ABT263","fludarabine","Bcl-2, Bcl-x, Bcl-xl","Antimetabolite (purine)",11,1.10790837240482,4,11
"Bortezomib","Midostaurin/PKC412","proteasome","Multi (FLT3, KIT, etc., broad spectrum)",11,0.661950397002225,2,15
"Bortezomib","cisplatin","proteasome","alkylating agent (platinum)",11,0.661950397002225,2,21
"Bortezomib","dasatanib","proteasome","Multi (BCR-Abl, EAR, PDGFR, c-kit)",11,0.661950397002225,2,34
"Bortezomib","pioglitazone","proteasome","PPARg, agonist",11,0.661950397002225,2,53
"Bortezomib","vasastrol","proteasome","KSP (Eg5, kinesin-5)",11,0.661950397002225,2,67
"CHIR265","bivanib/BI2536","Raf, VEGFR","Plk1",11,2.09565823879859,14,8
"Docetaxel","bivanib/BI2536","microtubule agent (taxane)","Plk1",11,2.09565823879859,10,8
"HIF-1i","SrcI1","HIFa","Src",11,2.95920567753324,30,18
"Lestaurtinib","MK2206","Multi (Flt2, TrkA, RET, JAK2)","Akt",11,4.53030447792072,101,59
"Perifosine","Midostaurin/PKC412","Akt/PI3K","Multi (FLT3, KIT, etc., broad spectrum)",11,2.70558490088054,24,15
"Perifosine","SNS-032","Akt/PI3K","CDK2/7/9",11,2.70558490088054,24,38
"RKI983","fingolimod","ROCK","Sphingosine-1-phosphate receptor agonist",11,0.101194114331565,16,1
"Wnti","NVP-TAE684","bCatenin","ALK",11,0.867381213109425,3,40
"XL147","bivanib/BI2536","PI3K","Plk1",11,2.09565823879859,61,8
"YM155","STA4783","survivin/BIRC5","HSP70 inducer",11,1.81847938637103,7,6
"erlotinib","YM155","EGFR","survivin/BIRC5",11,2.02129994772399,65,7
"fingolimod","L779450","Sphingosine-1-phosphate receptor agonist","Raf",11,0.101194114331565,1,51
"fingolimod","MK1775","Sphingosine-1-phosphate receptor agonist","Wee-1",11,0.101194114331565,1,37
"fingolimod","Tamatinib/R406","Sphingosine-1-phosphate receptor agonist","Syk",11,0.101194114331565,1,17
"sorafenib","bivanib/BI2536","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","Plk1",11,2.09565823879859,26,8
"vatalanib/PTK787","IPA3","VEFGR (1-4), c-kit, PDGFb","PAK",11,2.29596164552197,22,88
"vincristine","LFM-A13","microtubule agent (vinca alkyloid)","BTK, Plk",11,1.04928125110805,5,90
"ABT263","RKI983","Bcl-2, Bcl-x, Bcl-xl","ROCK",10,0.917930494444379,4,16
"ABT263","bivanib/BI2536","Bcl-2, Bcl-x, Bcl-xl","Plk1",10,0.917930494444379,4,8
"Bortezomib","Dorsomorphin","proteasome","AMPK/BMP antagonist",10,0.460732520640754,2,39
"Bortezomib","GW0742","proteasome","PPARd, agonist",10,0.460732520640754,2,63
"Bortezomib","JNK5a","proteasome","JNK",10,0.460732520640754,2,86
"Bortezomib","PLX4720","proteasome","Raf (BRafV600E)",10,0.460732520640754,2,79
"Enzastaurin","HIF-1i","PKCbeta","HIFa",10,2.70589116225983,31,30
"Enzastaurin","fingolimod","PKCbeta","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,31,1
"FK866","RKI983","NAMPRT","ROCK",10,2.21442339584915,12,16
"OSI906","Wnti","IGF1R","bCatenin",10,0.692268402160919,57,3
"Perifosine","Bortezomib","Akt/PI3K","proteasome",10,0.460732520640754,24,2
"Tamatinib/R406","bivanib/BI2536","Syk","Plk1",10,1.81675844831172,17,8
"Veliparib/ABT888","Wnti","PARP","bCatenin",10,0.692268402160919,81,3
"Vismodegib/GDC0449","Bortezomib","Hh","proteasome",10,0.460732520640754,104,2
"YM155","Midostaurin/PKC412","survivin/BIRC5","Multi (FLT3, KIT, etc., broad spectrum)",10,1.74925077236994,7,15
"YM155","QS11","survivin/BIRC5","ARFGAP",10,1.74925077236994,7,28
"YM155","Tie2i","survivin/BIRC5","TIE_2",10,1.74925077236994,7,48
"etoposide","fingolimod","topoisomerase inhibitors (Type II, podophyllotoxin)","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,105,1
"fingolimod","GSK0660","Sphingosine-1-phosphate receptor agonist","PPARd, ant",10,-0.0534883175752558,1,68
"fingolimod","GW441756","Sphingosine-1-phosphate receptor agonist","TrkA",10,-0.0534883175752558,1,82
"fingolimod","SNS314","Sphingosine-1-phosphate receptor agonist","Aurora (pan)",10,-0.0534883175752558,1,55
"fingolimod","palbociclib/PD332991","Sphingosine-1-phosphate receptor agonist","CDK4/6",10,-0.0534883175752558,1,85
"fludarabine","lenalidomide","Antimetabolite (purine)","TNFa",10,2.77220737409844,11,98
"selumetinib/AZD6244","CHIR265","MEK","Raf, VEGFR",10,2.55372991495311,32,14
"sorafenib","STA4783","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","HSP70 inducer",10,1.53442494207658,26,6
"vincristine","FH535","microtubule agent (vinca alkyloid)","bCatenin",10,0.880955773044241,5,23
"vincristine","Wnti","microtubule agent (vinca alkyloid)","bCatenin",10,0.692268402160919,5,3
"vincristine","fingolimod","microtubule agent (vinca alkyloid)","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,5,1
"ABT263","BID1870","Bcl-2, Bcl-x, Bcl-xl","RSK (RSK1/2/3/5/, PLK1, ARKB)",9,0.727952616483937,4,45
"ABT263","CX4945","Bcl-2, Bcl-x, Bcl-xl","CK2a",9,0.727952616483937,4,49
"ABT263","FH535","Bcl-2, Bcl-x, Bcl-xl","bCatenin",9,0.727952616483937,4,23
"ABT263","STA4783","Bcl-2, Bcl-x, Bcl-xl","HSP70 inducer",9,0.727952616483937,4,6
"BMS536924","STA4783","Multi (IGFR1R, InR, FAK)","HSP70 inducer",9,1.25037049778213,44,6
"Bortezomib","CHIR265","proteasome","Raf, VEGFR",9,0.259514644279282,2,14
"Bortezomib","OSU03012","proteasome","PDK1",9,0.259514644279282,2,9
"Bortezomib","SNS-032","proteasome","CDK2/7/9",9,0.259514644279282,2,38
"Bortezomib","U73122","proteasome","PLC",9,0.259514644279282,2,20
"Bortezomib","sorafenib","proteasome","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",9,0.259514644279282,2,26
"CX4945","bivanib/BI2536","CK2a","Plk1",9,1.53785865782484,49,8
"Docetaxel","EX527","microtubule agent (taxane)","SIRT1",9,2.00645161181837,10,100
"Docetaxel","GW2580","microtubule agent (taxane)","CSF1R/fms",9,2.00645161181837,10,71
"Docetaxel","Midostaurin/PKC412","microtubule agent (taxane)","Multi (FLT3, KIT, etc., broad spectrum)",9,2.00645161181837,10,15
"FK866","decitabine","NAMPRT","methyl transferase inhibitor",9,1.90590346960454,12,69
"L779450","Wnti","Raf","bCatenin",9,0.517155591212412,51,3
"NVP-BEZ235","CHIR265","PI3K/TORC1/TORC2 dual specificity","Raf, VEGFR",9,2.215131276911,78,14
"OSI906","STA4783","IGF1R","HSP70 inducer",9,1.25037049778213,57,6
"OSU03012","HIF-1i","PDK1","HIFa",9,1.46044089544017,9,30
"OSU03012","QS11","PDK1","ARFGAP",9,1.46044089544017,9,28
"PF562271","fludarabine","FAK1/2","Antimetabolite (purine)",9,2.37984469019826,64,11
"Perifosine","ABT263","Akt/PI3K","Bcl-2, Bcl-x, Bcl-xl",9,0.727952616483937,24,4
"Perifosine","nilutamide","Akt/PI3K","androgen receptor",9,2.11113400890062,24,77
"RKI983","Bexarotene","ROCK","RXR",9,2.30977459730628,16,29
"VX702","Wnti","p38","bCatenin",9,0.517155591212412,74,3
"YM155","Dorsomorphin","survivin/BIRC5","AMPK/BMP antagonist",9,1.47720159701589,7,39
"YM155","KU55933","survivin/BIRC5","ATM",9,1.47720159701589,7,46
"bivanib/BI2536","GSK0660","Plk1","PPARd, ant",9,1.53785865782484,8,68
"cisplatin","U73122","alkylating agent (platinum)","PLC",9,1.44254271589423,21,20
"dasatanib","NVP-TAE684","Multi (BCR-Abl, EAR, PDGFR, c-kit)","ALK",9,3.59180361243214,34,40
"fingolimod","PLX4720","Sphingosine-1-phosphate receptor agonist","Raf (BRafV600E)",9,-0.208170749482077,1,79
"fingolimod","decitabine","Sphingosine-1-phosphate receptor agonist","methyl transferase inhibitor",9,-0.208170749482077,1,69
"fingolimod","vasastrol","Sphingosine-1-phosphate receptor agonist","KSP (Eg5, kinesin-5)",9,-0.208170749482077,1,67
"lapatinib","STA4783","EGFR, HER2, ErbB4","HSP70 inducer",9,1.25037049778213,13,6
"nilotinib","Bortezomib","Multi (BCR-Abl, PDGFR, c-kit)","proteasome",9,0.259514644279282,66,2
"selumetinib/AZD6244","Dovitinib/CHIR-258","MEK","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",9,2.90922708650904,32,35
"sunitinib","U73122","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","PLC",9,2.91050183786617,42,20
"sunitinib","Wnti","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","bCatenin",9,0.517155591212412,42,3
"vincristine","vasastrol","microtubule agent (vinca alkyloid)","KSP (Eg5, kinesin-5)",9,0.712630294980431,5,67
"ABT263","AS252424","Bcl-2, Bcl-x, Bcl-xl","PI3K (gamma)",8,0.537974738523495,4,62
"ABT263","Dovitinib/CHIR-258","Bcl-2, Bcl-x, Bcl-xl","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",8,0.537974738523495,4,35
"ABT263","SU6656","Bcl-2, Bcl-x, Bcl-xl","Lyn/Src/Fyn/Yes",8,0.537974738523495,4,52
"ABT263","lapatinib","Bcl-2, Bcl-x, Bcl-xl","EGFR, HER2, ErbB4",8,0.537974738523495,4,13
"Bortezomib","AS252424","proteasome","PI3K (gamma)",8,0.0582967679178097,2,62
"Bortezomib","Crizotinib/PF2341066","proteasome","Multi (c-kit, ALK, MET)",8,0.0582967679178097,2,103
"Bortezomib","cediranib/AZD2171","proteasome","VEGFR (pan)",8,0.0582967679178097,2,73
"Bortezomib","erlotinib","proteasome","EGFR",8,0.0582967679178097,2,65
"Bortezomib","everolimus","proteasome","mTor",8,0.0582967679178097,2,41
"Bortezomib","nilutamide","proteasome","androgen receptor",8,0.0582967679178097,2,77
"Bortezomib","palbociclib/PD332991","proteasome","CDK4/6",8,0.0582967679178097,2,85
"Docetaxel","CHIR265","microtubule agent (taxane)","Raf, VEGFR",8,1.66073450640039,10,14
"Docetaxel","PIM-1 4a","microtubule agent (taxane)","PIM",8,1.46868152832664,10,36
"Docetaxel","Tamatinib/R406","microtubule agent (taxane)","Syk",8,1.66073450640039,10,17
"FK866","Pazopanib","NAMPRT","Multi (VEGFR2, FLT1, FLT4)",8,1.59738354335993,12,102
"HIF-1i","Dorsomorphin","HIFa","AMPK/BMP antagonist",8,1.92943586999574,30,39
"Lestaurtinib","gemcitabine","Multi (Flt2, TrkA, RET, JAK2)","Antimetabolite (pyrimidine)",8,2.58321733604186,101,50
"MK1775","Wnti","Wee-1","bCatenin",8,0.342042780263905,37,3
"MK2206","SrcI1","Akt","Src",8,1.96349810679092,59,18
"MK2206","YM155","Akt","survivin/BIRC5",8,1.20515242166185,59,7
"MK2206","lapatinib","Akt","EGFR, HER2, ErbB4",8,1.31610349116624,59,13
"Midostaurin/PKC412","GW0742","Multi (FLT3, KIT, etc., broad spectrum)","PPARd, agonist",8,2.09321734214607,15,63
"Midostaurin/PKC412","HIF-1i","Multi (FLT3, KIT, etc., broad spectrum)","HIFa",8,2.04935974647343,15,30
"OSI906","fingolimod","IGF1R","Sphingosine-1-phosphate receptor agonist",8,-0.362853181388897,57,1
"OSU03012","GW0742","PDK1","PPARd, agonist",8,1.20551891205991,9,63
"RKI983","STA4783","ROCK","HSP70 inducer",8,0.966316053487673,16,6
"SNS-032","STA4783","CDK2/7/9","HSP70 inducer",8,0.966316053487673,38,6
"STA4783","C75","HSP70 inducer","Fatty Acid Synthase",8,0.966316053487673,6,47
"STA4783","QS11","HSP70 inducer","ARFGAP",8,0.966316053487673,6,28
"Tanespimycin/17-AAG","Wnti","HSP90","bCatenin",8,0.342042780263905,19,3
"Tanespimycin/17-AAG","bivanib/BI2536","HSP90","Plk1",8,1.25895886733796,19,8
"Tideglusib/TZDZ-8","STA4783","GSK3","HSP70 inducer",8,0.966316053487673,80,6
"Tozasertib/VX680","Bortezomib","Multi (AuroraABC, Abl, AblT351I, Flt-3)","proteasome",8,0.0582967679178097,92,2
"Tozasertib/VX680","Wnti","Multi (AuroraABC, Abl, AblT351I, Flt-3)","bCatenin",8,0.342042780263905,92,3
"U73122","Embelin","PLC","XIAP",8,2.15992359202607,20,25
"VX702","STA4783","p38","HSP70 inducer",8,0.966316053487673,74,6
"Veliparib/ABT888","STA4783","PARP","HSP70 inducer",8,0.966316053487673,81,6
"Vismodegib/GDC0449","Docetaxel","Hh","microtubule agent (taxane)",8,1.66073450640039,104,10
"Wnti","AS252424","bCatenin","PI3K (gamma)",8,0.342042780263905,3,62
