"short.name","plos.name","target.short","target.plos","good.name","stage","standard.dose.uM.","low.dose.uM","commercial.vendor"
"lapatinib","lapatinib","EGFR/ERBB2/ERBB4","EGFR, HER2, ErbB4","lapatinib (GW-572016/GW2016)","approved",4,0.8,"LC Laboratories"
"lenalidomide","lenalidomide","TNFa","TNFa","lenalidomide/CC-5013","approved",5,1,"LC Laboratories"
"Lestaurtinib","Lestaurtinib","Flt2/TrkA/RET/JAK2","Multi (Flt2, TrkA, RET, JAK2)","Lestaurtinib/CEP-701/KT-5555/SPM-924","II",0.02,0.004,"LC Laboratories"
"MK-2206","MK2206","Akt","Akt","MK-2206","II",2,0.4,"Selleck"
"nilotinib","nilotinib","BCR-Abl/PDGFR/c-kit","Multi (BCR-Abl, PDGFR, c-kit)","nilotinib/AMN-107","approved",1,0.2,"LC Laboratories"
"Nutlin-3","Nutlin-3","MDM2/p53","MDM2/p53","Nutlin-3","I",0.5,0.1,"Cayman"
"NVP-BEZ235","NVP-BEZ235","PI3K/TORC1/TORC2","PI3K/TORC1/TORC2 dual specificity","NVP-BEZ235","II",0.02,0.004,"LC Laboratories"
"OSI-906","OSI906","IGF1R","IGF1R","OSI-906","III",2,0.4,"Selleck"
"Pazopanib","Pazopanib","VEGFR2/FLT1/FLT4","Multi (VEGFR2, FLT1, FLT4)","Pazopanib/GW-786034","approved",2,0.4,"LC Laboratories"
"PD-332991","palbociclib/PD332991","CDK4/CDK6","CDK4/6","PD-332991","III",0.2,0.04,"Selleck"
"Perifosine","Perifosine","Akt/PI3K","Akt/PI3K","Perifosine/D-21266","III",2,0.4,"Selleck"
"PF-2341066","Crizotinib/PF2341066","c-kit/ALK/MET","Multi (c-kit, ALK, MET)","PF-2341066/Crizotinib","approved",1,0.2,"ChemieTek"
"PF-562271","PF562271","PTK2/PTK2B","FAK1/2","PF-562271","I",0.4,0.08,"SYN"
"PLX4720","PLX4720","Raf (BRafV600E)","Raf (BRafV600E)","PLX4720/RO5185426/PLX4320/RG7204","approved",0.4,0.08,"Axon"
"PTK 787","vatalanib/PTK787","VEFGR1/VEGFR2/VEGFR3/VEGFR4/c-kit/PDGFb","VEFGR (1-4), c-kit, PDGFb","PTK 787/ZK 222584/vatalanib","III",10,2,"LC Laboratories"
"RKI-983","RKI983","ROCK","ROCK","RKI-983/SNJ-1656/Y-39983","II",2,0.4,"Stemgent"
"sorafenib tosylate","sorafenib","Braf/VEGFR/RET/Flt3/ckit/Craf","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","sorafenib tosylate/BAY 43-9006","approved",2,0.4,"LC Laboratories"
"sunitinib","sunitinib","CSF-1R/Flt3/Kit/PDGFR/RET/VEGFR","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","sunitinib/SU-11248","approved",2,0.4,"LC Laboratories"
"Tozasertib","Tozasertib/VX680","AuroraABC/Abl/AblT351I/Flt-3","Multi (AuroraABC, Abl, AblT351I, Flt-3)","Tozasertib/VX-680/MK-0457","II",0.03,0.006,"LC Laboratories"
"TZDZ-8","Tideglusib/TZDZ-8","GSK3","GSK3","TZDZ-8/NP-12/NP-031112/Tideglusib","II",2,0.4,"TRC"
"Vincristine","vincristine","microtubule agent (vinca alkyloid)","microtubule agent (vinca alkyloid)","Vincristine","approved",5e-04,1e-04,"TRC"
"VQD-001","stibogluconate","SHP1/SHP2/PTP1B","SHP1/2/PTP1B","VQD-001/Sodium stibogluconate","approved",10,2,"EMD"
"VX-702","VX702","p38","p38","VX-702","II",2,0.4,"LC Laboratories"
"XL147","XL147","PI3K","PI3K","XL147","II",4,0.8,"Selleck"
"YM155","YM155","survivin/BIRC5","survivin/BIRC5","YM155","II",0.002,4e-04,"Selleck"
"AZD-7762","AZD7762","Chk1/Chk2","Chk1/2","AZD-7762","I",0.1,0.02,"Axon"
"BI 2536","bivanib/BI2536","Plk1","Plk1","BI 2536/bivanib","II",0.005,0.001,"ChemieTek"
"BMS-387032","SNS-032","CDK2/CDK7/CDK9","CDK2/7/9","BMS-387032/SNS-032","I",0.05,0.01,"SYN"
"BMS-536924","BMS536924","IGFR1R/InR/FAK","Multi (IGFR1R, InR, FAK)","BMS-536924","tool",1,0.2,"Selleck"
"CP-690550","CP690550","JAK3","JAK3","CP-690550","approved",5,1,"LC Laboratories"
"EX-527","EX527","SIRT1","SIRT1","EX-527/SEN-0014196","II",10,2,"Cayman"
"GSK650394","GSK650394","SGK","SGK","GSK650394","tool",0.8,0.16,"Tocris"
"IPA-3","IPA3","PAK","PAK","IPA-3","tool",4,0.8,"EMD"
"MK-1775","MK1775","Wee-1","Wee-1","MK-1775","II",0.1,0.02,"Axon"
"nilutamide","nilutamide","androgen receptor","androgen receptor","nilutamide/RU23908","approved",5,1,"Tocris"
"NSC-702818","tipifarnib","FTI","FTI","NSC-702818/R-115777/tipifarnib","III",0.05,0.01,"Selleck"
"OSU-03012","OSU03012","PDK1","PDK1","OSU-03012","I",5,1,"LC Laboratories"
"PF-04217903","PF04217903","MET","MET","PF-04217903","I",5,1,"Selleck"
"PKC-412","Midostaurin/PKC412","FLT3/KIT","Multi (FLT3, KIT, etc., broad spectrum)","PKC-412/CGP 41251/Midostaurin","III",0.4,0.08,"LC Laboratories"
"R406","Tamatinib/R406","Syk","Syk","R406/R788/Tamatinib active drug","III",2,0.4,"TRC"
"SNS-314","SNS314","Aurora (pan)","Aurora (pan)","SNS-314","I",0.004,8e-04,"Selleck"
"STA-4783","STA4783","HSP70 inducer","HSP70 inducer","STA-4783","III",0.03,0.006,"Cayman"
"SU6656","SU6656","Lyn/Src/Fyn/Yes","Lyn/Src/Fyn/Yes","SU6656","tool",2,0.4,"Cayman"
"TCS JNK 5a","JNK5a","JNK","JNK","TCS JNK 5a","tool",0.04,0.008,"Tocris"
"temozolomide","temozolomide","alkylating agent (tetrazine)","alkylating agent (tetrazine)","temozolomide","approved",10,2,"Sigma"
"vorinostat","vorinostat/SAHA","HDAC","HDAC","vorinostat/SAHA","approved",0.4,0.08,"LC Laboratories"
"ZM 336372","ZM336372","Raf (c-Raf)","Raf (c-Raf)","ZM 336372","tool",10,2,"Tocris"
"A-769662","A769662","AMPK agonist","AMPK agonist","A-769662","tool",10,2,"LC Laboratories"
"AS-252424","AS252424","PI3K","PI3K (gamma)","AS-252424","tool",5,1,"Cayman"
"C75","C75","Fatty Acid Synthase","Fatty Acid Synthase","C75","tool",5,1,"EMD"
"cediranib","cediranib/AZD2171","VEGFR","VEGFR (pan)","cediranib/AZD2171","III",2,0.4,"Selleck"
"D-5","PIM-1 4a","PIM","PIM","D-5/TCS PIM-1 4a","tool",10,2,"Tocris"
"Dorsomorphin dihydrochloride","Dorsomorphin","AMPK/BMP antagonist","AMPK/BMP antagonist","Dorsomorphin dihydrochloride","tool",2,0.4,"Tocris"
"Embelin","Embelin","XIAP","XIAP","Embelin","tool",6,1.2,"Tocris"
"FH535","FH535","bCatenin","bCatenin","FH535","tool",5,1,"EMD"
"GSK 0660","GSK0660","PPARd/ant","PPARd, ant","GSK 0660","tool",5,1,"Tocris"
"GW 0742","GW0742","PPARd, agonist","PPARd, agonist","GW 0742","tool",10,2,"Tocris"
"GW-2580","GW2580","CSF1R/fms","CSF1R/fms","GW-2580","tool",5,1,"LC Laboratories"
"GW 441756","GW441756","TrkA","TrkA","GW 441756","tool",2,0.4,"Tocris"
"GW9662","GW9662","PPARg","PPARg","GW9662","tool",10,2,"Cayman"
"HIF-1 Inhibitor","HIF-1i","HIFa","HIFa","HIF-1 Inhibitor","tool",10,2,"EMD"
"JZL184","JZL184","MAGL","MAGL","JZL184","tool",5,1,"Cayman"
"Ku-0063794","KU0063794","mTOR kinase","mTOR kinase","Ku-0063794","tool",0.1,0.02,"Tocris"
"KU55933","KU55933","ATM","ATM","KU55933/ATM Kinase Inhibitor","tool",5,1,"Selleck"
"L 779450","L779450","Raf","Raf","L 779450","tool",1,0.2,"TRC"
"LFM-A13","LFM-A13","BTK/Plk","BTK, Plk","LFM-A13/DDE-28","tool",10,2,"Tocris"
"LSN-415169","LSN415169","gamma secretase","gamma secretase","LSN-415169","tool",5,1,"Axon"
"NVP-TAE684","NVP-TAE684","ALK","ALK","NVP-TAE684","tool",0.4,0.08,"ChemieTek"
"PD173074","PD173074","FGFR1/FGFR3","FGFR1/3","PD173074","tool",0.5,0.1,"Tocris"
"Pioglitazone","pioglitazone","PPARg, agonist","PPARg, agonist","Pioglitazone","approved",10,2,"TRC"
"QS11","QS11","ARFGAP","ARFGAP","QS11","tool",5,1,"Sigma"
"SrcI1","SrcI1","Src","Src","SrcI1","tool",10,2,"TRC"
"T0901317","T0901317","LXR","LXR","T0901317","tool",7,1.4,"Tocris"
"TCS 401","TCS401","PTP-1B","PTP-1B","TCS 401/NNC-52-0956","tool",8.333333333,1.666666667,"Tocris"
"Tie2 Kinase Inhibitor","Tie2i","TIE_2","TIE_2","Tie2 Kinase Inhibitor","tool",5,1,"EMD"
"U 73122","U73122","PLC","PLC","U 73122","tool",2,0.4,"Tocris"
"VS-83","vasastrol","KSP (Eg5, kinesin-5)","KSP (Eg5, kinesin-5)","VS-83/vasastrol","tool",2,0.4,"EMD"
"Wnt Agonist","Wnti","bCatenin","bCatenin","Wnt Agonist","tool",0.5,0.1,"EMD"
"XAV939","XAV939","TANKYRASE1/TANKYRASE2","tankyrase 1/2","XAV939","tool",10,2,"Selleck"
"BI-D1870","BID1870","RSK1/RSK2/RSK3/RSK5/PLK1/ARKB","RSK (RSK1/2/3/5/, PLK1, ARKB)","BI-D1870","tool",1,0.2,"SYN"
